         383171 function calls (376601 primitive calls) in 0.362 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      254    0.001    0.000    0.001    0.000 functools.py:37(update_wrapper)
     5220    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1149    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        1    0.001    0.001    0.073    0.073 backend_qt5.py:1(<module>)
     6939    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     2854    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
     3367    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
    292/5    0.001    0.000    0.320    0.064 <frozen importlib._bootstrap_external>:722(exec_module)
     5212    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
   260/11    0.001    0.000    0.003    0.000 pyparsing.py:1516(_parseNoCache)
      343    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
     1108    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      232    0.001    0.000    0.001    0.000 pyparsing.py:1277(__init__)
      292    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     1536    0.001    0.000    0.002    0.000 colors.py:116(_is_nth_color)
     2400    0.001    0.000    0.001    0.000 inspect.py:2799(<genexpr>)
       12    0.001    0.000    0.003    0.000 artist.py:1114(get_aliases)
        1    0.000    0.000    0.001    0.001 polyutils.py:45(<module>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
      292    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      130    0.000    0.000    0.003    0.000 deprecation.py:178(deprecate)
       12    0.000    0.000    0.001    0.000 artist.py:1125(<listcomp>)
      283    0.000    0.000    0.001    0.000 enum.py:70(__setitem__)
       43    0.000    0.000    0.041    0.001 a_star_planner.py:71(expand)
      177    0.000    0.000    0.015    0.000 sre_parse.py:919(parse)
  343/339    0.000    0.000    0.090    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      492    0.000    0.000    0.011    0.000 rcsetup.py:358(validate_color)
     1454    0.000    0.000    0.002    0.000 re.py:170(match)
      134    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       42    0.000    0.000    0.001    0.000 pyparsing.py:875(copy)
     1375    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        7    0.000    0.000    0.000    0.000 {built-in method gc.collect}
       39    0.000    0.000    0.003    0.000 __init__.py:1638(param)
      292    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
       16    0.000    0.000    0.010    0.001 {built-in method builtins.eval}
     1778    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       29    0.000    0.000    0.000    0.000 {built-in method io.open}
      316    0.000    0.000    0.001    0.000 font_manager.py:850(_json_decode)
     2001    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      338    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.000    0.000 contour.py:52(ContourLabeler)
     2192    0.000    0.000    0.001    0.000 enum.py:526(__new__)
     1592    0.000    0.000    0.001    0.000 artist.py:1225(is_alias)
     1260    0.000    0.000    0.000    0.000 colors.py:236(<genexpr>)
     2271    0.000    0.000    0.001    0.000 sre_parse.py:249(match)
      584    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     1644    0.000    0.000    0.001    0.000 sre_parse.py:172(append)
     4970    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       11    0.000    0.000    0.027    0.002 artist.py:1268(pprint_setters)
      362    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      451    0.000    0.000    0.001    0.000 artist.py:1204(_replace_path)
      338    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
       14    0.000    0.000    0.089    0.006 __init__.py:1(<module>)
     3950    0.000    0.000    0.000    0.000 inspect.py:2517(name)
      876    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      362    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      136    0.000    0.000    0.000    0.000 deprecation.py:23(_generate_deprecation_message)
      359    0.000    0.000    0.000    0.000 enum.py:376(__setattr__)
      701    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      630    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:403(cached)
      177    0.000    0.000    0.001    0.000 enum.py:836(__and__)
     1602    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
     1100    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       83    0.000    0.000    0.001    0.000 pyparsing.py:3558(__init__)
       18    0.000    0.000    0.000    0.000 enum.py:177(<setcomp>)
      277    0.000    0.000    0.001    0.000 function_base.py:431(add_newdoc)
      478    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
     1433    0.000    0.000    0.000    0.000 inspect.py:158(isfunction)
   368/42    0.000    0.000    0.219    0.005 {built-in method builtins.__import__}
      212    0.000    0.000    0.002    0.000 __init__.py:540(dedent)
      429    0.000    0.000    0.003    0.000 pyparsing.py:1300(copy)
       23    0.000    0.000    0.001    0.000 traceback.py:318(extract)
        1    0.000    0.000    0.042    0.042 a_star_planner.py:115(create_graph)
      646    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
     1063    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
      363    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
      292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      292    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      129    0.000    0.000    0.000    0.000 inspect.py:613(cleandoc)
       15    0.000    0.000    0.000    0.000 arrayprint.py:463(wrapper)
      357    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
     1226    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      464    0.000    0.000    0.000    0.000 a_star_planner.py:35(push)
      769    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
     1063    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
     2060    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       13    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
        1    0.000    0.000    0.002    0.002 pyplot.py:2043(_setup_pyplot_info_docstrings)
       31    0.000    0.000    0.004    0.000 _collections_abc.py:824(update)
      351    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      177    0.000    0.000    0.009    0.000 sre_compile.py:598(_code)
      201    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
       84    0.000    0.000    0.000    0.000 docstring.py:40(__call__)
      178    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      272    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      491    0.000    0.000    0.011    0.000 colors.py:121(is_color_like)
  198/170    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
     1999    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      876    0.000    0.000    0.000    0.000 {built-in method from_bytes}
    480/5    0.000    0.000    0.320    0.064 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      476    0.000    0.000    0.011    0.000 re.py:180(search)
      429    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      134    0.000    0.000    0.002    0.000 textwrap.py:414(dedent)
       99    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
     2060    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
