         383171 function calls (376601 primitive calls) in 0.362 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.000    0.000 enum.py:64(__init__)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       28    0.000    0.000    0.000    0.000 posixpath.py:232(expanduser)
       29    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
       71    0.000    0.000    0.001    0.000 {built-in method builtins.next}
        7    0.000    0.000    0.000    0.000 _parser.py:315(_convert)
        1    0.000    0.000    0.001    0.001 afm.py:38(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:49(<module>)
       11    0.000    0.000    0.003    0.000 pyparsing.py:1766(parseString)
       25    0.000    0.000    0.000    0.000 pyparsing.py:4419(__init__)
       15    0.000    0.000    0.000    0.000 rcsetup.py:906(validate_animation_writer_path)
       20    0.000    0.000    0.000    0.000 __init__.py:1930(getLogger)
       77    0.000    0.000    0.000    0.000 overrides.py:104(decorator)
       92    0.000    0.000    0.000    0.000 textwrap.py:477(prefixed_lines)
       27    0.000    0.000    0.000    0.000 contextlib.py:237(helper)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
      238    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
      186    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
        1    0.000    0.000    0.000    0.000 scale.py:1(<module>)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:594(_ReducedHCT_Element)
        1    0.000    0.000    0.000    0.000 texmanager.py:48(TexManager)
       98    0.000    0.000    0.000    0.000 pyparsing.py:2336(streamline)
       12    0.000    0.000    0.000    0.000 pyparsing.py:5231(<lambda>)
        9    0.000    0.000    0.002    0.000 fontconfig_pattern.py:113(parse)
       39    0.000    0.000    0.002    0.000 inspect.py:3081(signature)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:95(_add_types)
       33    0.000    0.000    0.000    0.000 warnings.py:453(__init__)
       27    0.000    0.000    0.001    0.000 contextlib.py:107(__enter__)
        1    0.000    0.000    0.000    0.000 _subplots.py:203(subplot_class_factory)
        1    0.000    0.000    0.000    0.000 backend_tools.py:12(<module>)
        1    0.000    0.000    0.000    0.000 legend.py:307(Legend)
        1    0.000    0.000    0.000    0.000 lines.py:208(Line2D)
        1    0.000    0.000    0.007    0.007 artist.py:1(<module>)
        1    0.000    0.000    0.000    0.000 path.py:21(Path)
       16    0.000    0.000    0.000    0.000 pyparsing.py:2914(parseImpl)
       23    0.000    0.000    0.000    0.000 rcsetup.py:47(__init__)
       49    0.000    0.000    0.000    0.000 pyparsing.py:522(__getitem__)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
        6    0.000    0.000    0.000    0.000 patches.py:1822(<listcomp>)
        1    0.000    0.000    0.001    0.001 polynomial.py:57(<module>)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:19(_fr0)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
       86    0.000    0.000    0.000    0.000 textwrap.py:474(predicate)
       26    0.000    0.000    0.000    0.000 posixpath.py:376(abspath)
      140    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.000    0.000 backend_qt5.py:214(FigureCanvasQT)
        1    0.000    0.000    0.029    0.029 _subplots.py:1(<module>)
        1    0.000    0.000    0.008    0.008 legend.py:22(<module>)
        1    0.000    0.000    0.000    0.000 cm.py:99(<dictcomp>)
       72    0.000    0.000    0.000    0.000 pyparsing.py:1642(get)
       27    0.000    0.000    0.000    0.000 pyparsing.py:4663(__init__)
        1    0.000    0.000    0.000    0.000 selectors.py:5(<module>)
       39    0.000    0.000    0.002    0.000 inspect.py:2829(from_callable)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fbfedd4b510}
        1    0.000    0.000    0.001    0.001 patches.py:1927(BoxStyle)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:22(<module>)
       12    0.000    0.000    0.000    0.000 pathlib.py:653(_from_parts)
       28    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
      198    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 backend_agg.py:21(<module>)
        1    0.000    0.000    0.000    0.000 transforms.py:30(<module>)
       45    0.000    0.000    0.000    0.000 docstring.py:44(update)
       17    0.000    0.000    0.000    0.000 cycler.py:468(cycler)
       13    0.000    0.000    0.000    0.000 pyparsing.py:4109(__str__)
       10    0.000    0.000    0.003    0.000 pyparsing.py:4685(__init__)
       25    0.000    0.000    0.000    0.000 rcsetup.py:300(<listcomp>)
        1    0.000    0.000    0.001    0.001 fontconfig_pattern.py:65(__init__)
        1    0.000    0.000    0.018    0.018 fontconfig_pattern.py:7(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      119    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
        1    0.000    0.000    0.003    0.003 case.py:1(<module>)
       27    0.000    0.000    0.000    0.000 core.py:919(__init__)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
       16    0.000    0.000    0.000    0.000 functools.py:479(decorating_function)
        7    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
       58    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.070    0.070 formlayout.py:33(<module>)
        1    0.000    0.000    0.000    0.000 figure.py:250(Figure)
        1    0.000    0.000    0.019    0.019 core.py:12(<module>)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
        1    0.000    0.000    0.000    0.000 artist.py:69(Artist)
        1    0.000    0.000    0.000    0.000 pyplot.py:1782(get_plot_commands)
      138    0.000    0.000    0.000    0.000 cycler.py:212(<genexpr>)
       17    0.000    0.000    0.000    0.000 cycler.py:529(_cycler)
      188    0.000    0.000    0.000    0.000 pyparsing.py:2863(<genexpr>)
      158    0.000    0.000    0.000    0.000 pyparsing.py:3692(<genexpr>)
     20/6    0.000    0.000    0.001    0.000 pyparsing.py:4065(parseImpl)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.001    0.001 subprocess.py:42(<module>)
        1    0.000    0.000    0.003    0.003 hashlib.py:54(<module>)
        1    0.000    0.000    0.000    0.000 case.py:351(TestCase)
        1    0.000    0.000    0.007    0.007 textpath.py:1(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2931(__array_finalize__)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
        1    0.000    0.000    0.000    0.000 pickle.py:1021(_Unpickler)
       14    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
    61/18    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
        1    0.000    0.000    0.070    0.070 qt_compat.py:13(<module>)
        1    0.000    0.000    0.074    0.074 backend_qt5agg.py:3(<module>)
        1    0.000    0.000    0.000    0.000 polar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:687(Axis)
       51    0.000    0.000    0.000    0.000 six.py:177(_add_module)
       44    0.000    0.000    0.000    0.000 pyparsing.py:3900(<genexpr>)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:132(_family)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        6    0.000    0.000    0.000    0.000 version.py:307(parse)
  109/105    0.000    0.000    0.000    0.000 __init__.py:409(wrapper)
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:60(<module>)
        1    0.000    0.000    0.001    0.001 financial.py:12(<module>)
        1    0.000    0.000    0.001    0.001 linecache.py:82(updatecache)
       78    0.000    0.000    0.000    0.000 _internal.py:851(<genexpr>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:445(_construct_lookups)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:68(<genexpr>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:154(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 ntpath.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:800(_create_pseudo_member_)
        1    0.000    0.000    0.007    0.007 offsetbox.py:15(<module>)
        1    0.000    0.000    0.000    0.000 text.py:109(Text)
        1    0.000    0.000    0.000    0.000 pyplot.py:2078(<listcomp>)
        1    0.000    0.000    0.002    0.002 __init__.py:97(<module>)
       95    0.000    0.000    0.000    0.000 pyparsing.py:234(<genexpr>)
       58    0.000    0.000    0.000    0.000 pyparsing.py:569(__bool__)
       19    0.000    0.000    0.000    0.000 __init__.py:1357(_to_unmasked_float_array)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
        1    0.000    0.000    0.004    0.004 utils.py:5(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:98(PrettyPrinter)
        1    0.000    0.000    0.001    0.001 patches.py:3102(ArrowStyle)
        1    0.000    0.000    0.000    0.000 lzma.py:9(<module>)
        1    0.000    0.000    0.004    0.004 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
        6    0.000    0.000    0.000    0.000 numeric.py:2656(seterr)
        7    0.000    0.000    0.000    0.000 enum.py:830(__or__)
       16    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
        1    0.000    0.000    0.000    0.000 Image.py:524(Image)
        1    0.000    0.000    0.000    0.000 markers.py:146(<module>)
       19    0.000    0.000    0.000    0.000 cycler.py:225(__iter__)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:2099(makeOptionalList)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1234(ParserElement)
       11    0.000    0.000    0.000    0.000 pyparsing.py:5019(_escapeRegexRangeChars)
       16    0.000    0.000    0.000    0.000 pyparsing.py:781(__iadd__)
       24    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
       18    0.000    0.000    0.000    0.000 core.py:995(__init__)
        1    0.000    0.000    0.000    0.000 tokenize.py:443(open)
       13    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2758(geterr)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:238(_add_array_type)
       18    0.000    0.000    0.000    0.000 enum.py:335(__getattr__)
       62    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
       25    0.000    0.000    0.000    0.000 os.py:751(encode)
       82    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.071    0.071 figureoptions.py:6(<module>)
        1    0.000    0.000    0.000    0.000 formlayout.py:55(ColorButton)
        1    0.000    0.000    0.000    0.000 geo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _parser.py:30(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:10(<module>)
       15    0.000    0.000    0.000    0.000 pyplot.py:2361(<lambda>)
       44    0.000    0.000    0.000    0.000 six.py:105(__init__)
      138    0.000    0.000    0.000    0.000 pyparsing.py:1512(postParse)
       16    0.000    0.000    0.000    0.000 pyparsing.py:2121(__or__)
       12    0.000    0.000    0.000    0.000 rcsetup.py:68(_listify_validator)
       30    0.000    0.000    0.002    0.000 rcsetup.py:446(validate_font_properties)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:286(Verbose)
        1    0.000    0.000    0.004    0.004 tempfile.py:24(<module>)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
       13    0.000    0.000    0.000    0.000 __init__.py:1619(isEnabledFor)
        1    0.000    0.000    0.003    0.003 bz2.py:5(<module>)
        1    0.000    0.000    0.002    0.002 defmatrix.py:1(<module>)
       19    0.000    0.000    0.000    0.000 pathlib.py:693(__str__)
       77    0.000    0.000    0.000    0.000 overrides.py:93(set_module)
       23    0.000    0.000    0.000    0.000 overrides.py:183(decorator)
        1    0.000    0.000    0.002    0.002 _distributor_init.py:17(__enter__)
       10    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
        1    0.000    0.000    0.042    0.042 a_star_planner.py:143(plan)
       53    0.000    0.000    0.000    0.000 enum.py:198(<genexpr>)
        1    0.000    0.000    0.000    0.000 scale.py:583(get_scale_docs)
        2    0.000    0.000    0.000    0.000 __init__.py:18(_get_running_interactive_framework)
        1    0.000    0.000    0.001    0.001 api.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1569(FigureCanvasBase)
        7    0.000    0.000    0.000    0.000 pyplot.py:621(close)
       97    0.000    0.000    0.000    0.000 pyparsing.py:5263(<genexpr>)
        5    0.000    0.000    0.000    0.000 rcsetup.py:468(validate_whiskers)
       32    0.000    0.000    0.000    0.000 rcsetup.py:822(<genexpr>)
       61    0.000    0.000    0.000    0.000 __init__.py:1916(make_alias)
        1    0.000    0.000    0.002    0.002 header.py:5(<module>)
       27    0.000    0.000    0.000    0.000 __init__.py:956(is_url)
        1    0.000    0.000    0.000    0.000 difflib.py:27(<module>)
       13    0.000    0.000    0.000    0.000 __init__.py:1361(debug)
        1    0.000    0.000    0.000    0.000 laguerre.py:60(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
        1    0.000    0.000    0.000    0.000 arraysetops.py:27(<module>)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6825(<genexpr>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        9    0.000    0.000    0.000    0.000 pathlib.py:676(_format_parsed_parts)
        1    0.000    0.000    0.003    0.003 py3k.py:4(<module>)
       19    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.006    0.006 overrides.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6567(__init__)
       16    0.000    0.000    0.000    0.000 functools.py:445(lru_cache)
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       60    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       79    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
       31    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.001    0.001 table.py:21(<module>)
       15    0.000    0.000    0.000    0.000 pyplot.py:2356(_autogen_docstring)
        2    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        5    0.000    0.000    0.000    0.000 six.py:91(__get__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1731(enablePackrat)
       74    0.000    0.000    0.000    0.000 pyparsing.py:2226(leaveWhitespace)
       66    0.000    0.000    0.000    0.000 pyparsing.py:3699(<genexpr>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4894(delimitedList)
       14    0.000    0.000    0.000    0.000 rcsetup.py:178(validate_axisbelow)
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
       39    0.000    0.000    0.000    0.000 inspect.py:504(_is_wrapper)
        2    0.000    0.000    0.000    0.000 __init__.py:602(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:783(RcParams)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:2645(ConnectionStyle)
        4    0.000    0.000    0.000    0.000 core.py:123(doc_note)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.000    0.000    0.000    0.000 format.py:156(<module>)
        1    0.000    0.000    0.000    0.000 histograms.py:3(<module>)
        5    0.000    0.000    0.000    0.000 getlimits.py:497(__init__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1499(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 pathlib.py:604(PurePath)
        1    0.000    0.000    0.000    0.000 pathlib.py:118(_WindowsFlavour)
        1    0.000    0.000    0.003    0.003 __init__.py:10(<module>)
       35    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
       29    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
       63    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       24    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      108    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       86    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        2    0.000    0.000    0.000    0.000 {built-in method posix.access}
      144    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       13    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 backend_managers.py:5(<module>)
        1    0.000    0.000    0.000    0.000 backend_macosx.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method _csv.register_dialect}
        1    0.000    0.000    0.000    0.000 csv.py:4(<module>)
        3    0.000    0.000    0.000    0.000 backend_bases.py:3270(export)
        1    0.000    0.000    0.002    0.002 font_manager.py:883(json_load)
       33    0.000    0.000    0.000    0.000 cm.py:40(_reverser)
       88    0.000    0.000    0.000    0.000 docstring.py:115(copy_dedent)
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
       15    0.000    0.000    0.000    0.000 pyparsing.py:4439(__str__)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:144(_families)
        4    0.000    0.000    0.000    0.000 fontconfig_pattern.py:152(_property)
       42    0.000    0.000    0.000    0.000 pyparsing.py:617(haskeys)
        1    0.000    0.000    0.000    0.000 gzip.py:110(GzipFile)
        6    0.000    0.000    0.000    0.000 deprecation.py:54(warn_deprecated)
       18    0.000    0.000    0.000    0.000 deprecation.py:189(finalize)
        1    0.000    0.000    0.007    0.007 feedparser.py:20(<module>)
        6    0.000    0.000    0.000    0.000 patches.py:1815(<listcomp>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
       24    0.000    0.000    0.000    0.000 tokenize.py:143(<listcomp>)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
       23    0.000    0.000    0.000    0.000 traceback.py:272(__getitem__)
        1    0.000    0.000    0.000    0.000 twodim_base.py:154(eye)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:69(_from_ctypes_scalar)
        2    0.000    0.000    0.000    0.000 {built-in method numpy.copyto}
        2    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        9    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        8    0.000    0.000    0.000    0.000 {method 'clear' of 'collections.OrderedDict' objects}
       95    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        6    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.000    0.000 backend_agg.py:62(RendererAgg)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:691(NavigationToolbar2QT)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:3(<module>)
        1    0.000    0.000    0.000    0.000 colorbar.py:306(ColorbarBase)
       15    0.000    0.000    0.000    0.000 docstring.py:84(__call__)
       38    0.000    0.000    0.000    0.000 cycler.py:371(<genexpr>)
        1    0.000    0.000    0.001    0.001 cycler.py:41(<module>)
        9    0.000    0.000    0.000    0.000 pyparsing.py:4262(__str__)
       94    0.000    0.000    0.000    0.000 pyparsing.py:5379(<genexpr>)
        2    0.000    0.000    0.000    0.000 rcsetup.py:78(<listcomp>)
       10    0.000    0.000    0.000    0.000 rcsetup.py:221(validate_fonttype)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
        1    0.000    0.000    0.006    0.006 _policybase.py:4(<module>)
        1    0.000    0.000    0.003    0.003 main.py:1(<module>)
       24    0.000    0.000    0.000    0.000 patches.py:1820(<genexpr>)
       14    0.000    0.000    0.000    0.000 __init__.py:31(register_func)
        4    0.000    0.000    0.000    0.000 function_base.py:2031(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:75(__call__)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 defchararray.py:1824(chararray)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pathlib.py:1244(mkdir)
       16    0.000    0.000    0.000    0.000 pathlib.py:290(splitroot)
       10    0.000    0.000    0.000    0.000 extras.py:238(__init__)
       14    0.000    0.000    0.000    0.000 enum.py:907(_power_of_two)
        2    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
       44    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
       44    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
      5/3    0.000    0.000    0.074    0.025 __init__.py:109(import_module)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        1    0.000    0.000    0.000    0.000 relativedelta.py:2(<module>)
        1    0.000    0.000    0.000    0.000 legend_handler.py:25(<module>)
        1    0.000    0.000    0.000    0.000 texmanager.py:29(<module>)
        1    0.000    0.000    0.001    0.001 _layoutbox.py:16(<module>)
        1    0.000    0.000    0.000    0.000 text.py:1980(Annotation)
        1    0.000    0.000    0.000    0.000 collections.py:25(Collection)
        1    0.000    0.000    0.000    0.000 transforms.py:752(Bbox)
        1    0.000    0.000    0.000    0.000 transforms.py:2084(IdentityTransform)
       89    0.000    0.000    0.000    0.000 docstring.py:96(copy)
      9/3    0.000    0.000    0.000    0.000 pyparsing.py:3861(streamline)
       16    0.000    0.000    0.000    0.000 pyparsing.py:3895(__str__)
       10    0.000    0.000    0.000    0.000 pyparsing.py:4272(__init__)
        6    0.000    0.000    0.000    0.000 pyparsing.py:5263(<lambda>)
        2    0.000    0.000    0.001    0.000 pyparsing.py:5237(srange)
       15    0.000    0.000    0.000    0.000 rcsetup.py:291(<listcomp>)
        5    0.000    0.000    0.000    0.000 rcsetup.py:312(__call__)
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
        1    0.000    0.000    0.000    0.000 ssl.py:379(SSLContext)
        1    0.000    0.000    0.000    0.000 socket.py:133(socket)
        1    0.000    0.000    0.000    0.000 charset.py:6(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:608(Popen)
       12    0.000    0.000    0.000    0.000 inspect.py:72(isclass)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       75    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
       22    0.000    0.000    0.000    0.000 __init__.py:727(__init__)
        8    0.000    0.000    0.000    0.000 core.py:2551(_arraymethod)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:27(<module>)
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:493(StringConverter)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 polynomial.py:1005(poly1d)
        1    0.000    0.000    0.000    0.000 defmatrix.py:74(matrix)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:187(_set_up_aliases)
        6    0.000    0.000    0.000    0.000 pathlib.py:1346(is_dir)
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        3    0.000    0.000    0.000    0.000 datetime.py:1517(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6265(__new__)
        1    0.000    0.000    0.003    0.003 _distributor_init.py:10(<module>)
        1    0.000    0.000    0.000    0.000 a_star_planner.py:49(__init__)
        9    0.000    0.000    0.000    0.000 re.py:307(_subx)
       39    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
       36    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 table.py:204(Table)
        1    0.000    0.000    0.000    0.000 quiver.py:414(Quiver)
        1    0.000    0.000    0.000    0.000 isoparser.py:9(<module>)
        3    0.000    0.000    0.000    0.000 _common.py:132(_validate_fromutc_inputs)
        1    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _constrained_layout.py:16(<module>)
        1    0.000    0.000    0.001    0.001 gridspec.py:14(<module>)
        1    0.000    0.000    0.000    0.000 mathtext.py:634(BakomaFonts)
        1    0.000    0.000    0.002    0.002 path.py:10(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
        6    0.000    0.000    0.000    0.000 six.py:126(__init__)
        2    0.000    0.000    0.002    0.001 _version.py:7(<module>)
        6    0.000    0.000    0.000    0.000 pyparsing.py:1344(setResultsName)
       14    0.000    0.000    0.000    0.000 pyparsing.py:2958(charsAsStr)
        7    0.000    0.000    0.000    0.000 pyparsing.py:4355(__init__)
        5    0.000    0.000    0.000    0.000 rcsetup.py:890(validate_hist_bins)
        1    0.000    0.000    0.000    0.000 pyparsing.py:431(ParseResults)
        1    0.000    0.000    0.000    0.000 ssl.py:784(SSLSocket)
        1    0.000    0.000    0.000    0.000 request.py:1663(URLopener)
        2    0.000    0.000    0.000    0.000 __init__.py:175(compare_versions)
        1    0.000    0.000    0.002    0.002 runner.py:1(<module>)
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
       22    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
       24    0.000    0.000    0.000    0.000 dviread.py:124(_dispatch)
        1    0.000    0.000    0.000    0.000 bezier.py:3(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2775(__new__)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _numpy_fft.py:54(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:380(find_cookie)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _internal.py:886(npy_ctypes_check)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        2    0.000    0.000    0.000    0.000 numeric.py:175(ones)
        3    0.000    0.000    0.000    0.000 pathlib.py:1059(home)
        1    0.000    0.000    0.000    0.000 pathlib.py:986(Path)
        8    0.000    0.000    0.000    0.000 core.py:8007(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:360(__members__)
       50    0.000    0.000    0.000    0.000 enum.py:623(name)
       26    0.000    0.000    0.000    0.000 enum.py:628(value)
       10    0.000    0.000    0.000    0.000 enum.py:855(_high_bit)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
       29    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
